year,contracts_signed,contracts_min,contracts_max,source
2022,300000,300000,300000,"Partial mobilization ~300k; split across 2022 (quarterly/monthly derived from this annual total)"
2023,387000,335000,490000,"Independent estimate ~387k; official claims up to 490k (Shoigu Dec 2023)"
2024,390700,374200,407200,"IStories budget expenditure analysis; official Belousov 427k"
2025,410000,350000,417000,"Medvedev 417k (Dec 2025), Belousov ~410k; IStories budget Q1–Q3 suggested lower full-year extrapolate"
